a	a
rịn	r U n
rọ	r o
rọc	r o KP
rọi	r o Y
rối	r O Y
rốn	r O NM
rống	r o NGM
rốt	r O TP
rồ	r O
rồi	r O Y
rồng	r o NGM
rổ	r O
rỗi	r O Y
rỗng	r o NGM
rộ	r O
rộn	r O NM
rộng	r o NGM
rớ	r oe
rớm	r oe M
rớp	r oe P
rớt	r oe K
rờ	r oe
rời	r oe Y
rờn	r oe NG
rởm	r oe M
rỡ	r oe
rợ	r oe
rợn	r oe NG
rợp	r oe P
rục	r u KP
rụi	r u Y
rụng	r u NGM
rụt	r u KP
rủ	r u
rủa	r ua
rủi	r u Y
rủn	r u NGM
rứa	r Ua
rứt	r U K
rừng	r U NG
rử	r U
rửa	r Ua
rữa	r Ua
rựa	r Ua
rực	r U K
sa	s a
sai	s ae Y
sam	s ae M
san	s ae NG
sang	s ae NG
sanh	s ae n
sao	s ae W
sau	s ae W
say	s ae Y
se	s e
sen	s e NG
seo	s e W
si	s i
sim	s i M
sin	s U n
sing	s U n
sinh	s U n
siêng	s i NG
siêu	s i W
siết	s i K
so	s o
soi	s o Y
son	s o NG
song	s o NGM
soài	s w ae Y
soát	s w ae K
soóc	s o K
soạn	s w ae NG
soọc	s o K
su	s u
sui	s u Y
sum	s U M
sun	s u NGM
sung	s u NGM
suy	s w i
suyễn	s w i NG
suôn	s u NG
suýt	s w U t
suất	s w A K
suối	s u Y
suốt	s u K
suỵt	s w U t
sà	s a
sài	s ae Y
sàn	s ae NG
sàng	s ae NG
sành	s ae n
sào	s ae W
sá	s a
sách	s ae t
sái	s ae Y
sám	s ae M
sán	s ae NG
sáng	s ae NG
sánh	s ae n
sáo	s ae W
sáp	s ae P
sát	s ae K
sáu	s ae W
sâm	s A M
sân	s A NG
sâu	s A W
sãi	s ae Y
séc	s e K
sét	s e K
sên	s oe n
sênh	s oe n
sình	s U n
sính	s U n
síp	s i P
sít	s U t
sò	s o
sòng	s o NGM
sóc	s o KP
sói	s o Y
sóng	s o NGM
sót	s o K
sô	s O
sôi	s O Y
sông	s o NGM
sõi	s o Y
sùi	s u Y
sùng	s u NGM
sú	s u
súc	s u KP
sún	s u NGM
súng	s u NGM
sút	s u KP
săm	s ae M
săn	s ae NG
sĩ	s i
sũng	s u NGM
sơ	s oe
sơn	s oe NG
sư	s U
sưa	s Ua
sưng	s U NG
sưu	s U W
sương	s U NG
sướng	s U NG
sướt	s U K
sườn	s U NG
sưởi	s U Y
sượng	s U NG
sạc	s ae K
sạch	s ae t
sạm	s ae M
sạn	s ae NG
sạp	s ae P
sạt	s ae K
sả	s a
sải	s ae Y
sản	s ae NG
sảnh	s ae n
sảo	s ae W
sảy	s ae Y
sấm	s A M
sấp	s A P
sấu	s A W
sấy	s A Y
sầm	s A M
sầu	s A W
sầy	s A Y
sẩm	s A M
sẩy	s A Y
sẫm	s A M
sậm	s A M
sập	s A P
sậy	s A Y
sắc	s ae K
sắm	s ae M
sắn	s ae NG
sắp	s ae P
sắt	s ae K
sẳn	s ae NG
sẵn	s ae NG
sặc	s ae K
sẹo	s e W
sẻ	s e
sẽ	s e
sến	s oe n
sếp	s E P
sếu	s E W
sệt	s oe t
sỉ	s i
sỉa	s ia
sọ	s o
sọc	s o KP
sọt	s o K
sỏ	s o
sỏi	s o Y
số	s O
sốc	s o KP
sống	s o NGM
sốt	s O TP
sồi	s O Y
sổ	s O
sổng	s o NGM
sớm	s oe M
sớt	s oe K
sờ	s oe
sờn	s oe NG
sở	s oe
sởi	s oe Y
sởn	s oe NG
sợ	s oe
sợi	s oe Y
sục	s u KP
sụn	s u NGM
sụp	s U P
sụt	s u KP
sủa	s ua
sủi	s u Y
sứ	s U
sứa	s Ua
sức	s U K
sứt	s U K
sừng	s U NG
sử	s U
sửa	s Ua
sửng	s U NG
sửu	s U W
sữa	s Ua
sững	s U NG
sự	s U
sực	s U K
sỹ	s i
ta	t a
tai	t ae Y
tam	t ae M
tan	t ae NG
tang	t ae NG
tanh	t ae n
tao	t ae W
tau	t ae W
tay	t ae Y
tem	t e M
teo	t e W
tha	th a
thai	th ae Y
tham	th ae M
than	th ae NG
thang	th ae NG
thanh	th ae n
thao	th ae W
thau	th ae W
thay	th ae Y
the	th e
then	th e NG
theo	th e W
thi	th i
thinh	th U n
thiu	th i W
thiêm	th i M
thiên	th i NG
thiêng	th i NG
thiêu	th i W
thiếc	th i K
thiến	th i NG
thiếp	th i P
thiết	th i K
thiếu	th i W
thiền	th i NG
thiểu	th i W
thiện	th i NG
thiệp	th i P
thiệt	th i K
thiệu	th i W
tho	th o
thoa	th w a
thoai	th w ae Y
thoang	th w ae NG
thoi	th o Y
thon	th o NG
thong	th o NGM
thoái	th w ae Y
thoáng	th w ae NG
thoát	th w ae K
thoại	th w ae Y
thoạt	th w ae K
thoả	th w a
thoải	th w ae Y
thoảng	th w ae NG
thu	th u
thua	th ua
thui	th u Y
thun	th u NGM
thung	th u NGM
thuyên	th w i NG
thuyết	th w i K
thuyền	th w i NG
thuê	th w E
thuôn	th u NG
thuý	th w i
thuần	th w A NG
thuẫn	th w A NG
thuận	th w A NG
thuật	th w A K
thuế	th w E
thuốc	th u K
thuổng	th u NG
thuộc	th u K
thuột	th u K
thuở	th ua
thuỳ	th w i
thuỵ	th w i
thuỷ	th w i
thyền	th i NG
thà	th a
thành	th ae n
thào	th ae W
thác	th ae K
thách	th ae t
thái	th ae Y
thám	th ae M
thán	th ae NG
tháng	th ae NG
thánh	th ae n
tháo	th ae W
tháp	th ae P
tháu	th ae W
tháy	th ae Y
thâm	th A M
thân	th A NG
thâu	th A W
thây	th A Y
thè	th e
thèm	th e M
thép	th e P
thét	th e K
thê	th E
thêm	th E M
thêu	th E W
thì	th i
thìa	th ia
thìn	th U n
thình	th U n
thí	th i
thích	th U t
thím	th i M
thính	th U n
thò	th o
thòi	th o Y
thòng	th o NGM
thóc	th o KP
thói	th o Y
thóp	th o P
thót	th o K
thô	th O
thôi	th O Y
thôn	th O NM
thông	th o NGM
thù	th u
thùa	th ua
thùng	th u NGM
thùy	th u Y
thú	th u
thúc	th u KP
thúi	th u Y
thúng	th u NGM
thúy	th u Y
thăm	th ae M
thăn	th ae NG
thăng	th ae NG
thơ	th oe
thơi	th oe Y
thơm	th oe M
thư	th U
thưa	th Ua
thương	th U NG
thước	th U K
thướt	th U K
thường	th U NG
thưởng	th U NG
thược	th U K
thượng	th U NG
thạc	th ae K
thạch	th ae t
thạo	th ae W
thả	th a
thải	th ae Y
thảm	th ae M
thản	th ae NG
thảnh	th ae n
thảo	th ae W
thảy	th ae Y
thấm	th A M
thấp	th A P
thất	th A K
thấu	th A W
thấy	th A Y
thầm	th A M
thần	th A NG
thầu	th A W
thầy	th A Y
thẩm	th A M
thẩn	th A NG
thẩy	th A Y
thậm	th A M
thận	th A NG
thập	th A P
thật	th A K
thắc	th ae K
thắm	th ae M
thắn	th ae NG
thắng	th ae NG
thắp	th ae P
thắt	th ae K
thằn	th ae NG
thằng	th ae NG
thẳm	th ae M
thẳng	th ae NG
thẹn	th e NG
thẹo	th e W
thẻ	th e
thế	th E
thề	th E
thềm	th E M
thều	th E W
thể	th E
thỉnh	th U n
thỉu	th i W
thị	th i
thịch	th U t
thịnh	th U n
thịt	th U t
thọ	th o
thọc	th o KP
thọt	th o K
thỏ	th o
thỏa	th w a
thốc	th o KP
thối	th O Y
thốn	th O NM
thống	th o NGM
thốt	th O TP
thồ	th O
thồn	th O NM
thổ	th O
thổi	th O Y
thổn	th O NM
thớt	th oe K
thờ	th oe
thời	th oe Y
thở	th oe
thợ	th oe
thụ	th u
thục	th u KP
thụt	th u KP
thụy	th u Y
thủ	th u
thủa	th ua
thủi	th u Y
thủm	th U M
thủng	th u NGM
thủy	th u Y
thứ	th U
thức	th U K
thừ	th U
thừa	th Ua
thừng	th U NG
thử	th U
thửa	th Ua
thự	th U
thực	th U K
ti	t i
tia	t ia
tim	t i M
tin	t U n
tinh	t U n
tiêm	t i M
tiên	t i NG
tiêu	t i W
tiếc	t i K
tiến	t i NG
tiếng	t i NG
tiếp	t i P
tiết	t i K
tiếu	t i W
tiềm	t i M
tiền	t i NG
tiều	t i W
tiển	t i NG
tiểng	t i NG
tiểu	t i W
tiễn	t i NG
tiệc	t i K
tiệm	t i M
tiện	t i NG
tiệp	t i P
to	t o
toa	t w a
toan	t w ae NG
toang	t w ae NG
toe	t w e
toi	t o Y
ton	t o NG
tong	t o NGM
toà	t w a
toàn	t w ae NG
toác	t w ae K
toái	t w ae Y
toán	t w ae NG
toáng	t w ae NG
toát	t w ae K
toé	t w e
toét	t w e K
toạc	t w ae K
toả	t w a
tra	tr a
trai	tr ae Y
trang	tr ae NG
tranh	tr ae n
trao	tr ae W
trau	tr ae W
tre	tr e
treo	tr e W
tri	tr i
tring	tr U n
trinh	tr U n
triết	tr i K
triền	tr i NG
triều	tr i W
triển	tr i NG
triện	tr i NG
triệt	tr i K
triệu	tr i W
tro	tr o
trong	tr o NGM
tru	tr u
trung	tr u NGM
truy	tr w i
truyền	tr w i NG
truyện	tr w i NG
truông	tr u NG
truất	tr w A K
truồng	tr u NG
truờng	tr u NG
trà	tr a
tràm	tr ae M
tràn	tr ae NG
tràng	tr ae NG
trành	tr ae n
trào	tr ae W
trá	tr a
trác	tr ae K
trách	tr ae t
trái	tr ae Y
trám	tr ae M
trán	tr ae NG
tráng	tr ae NG
tránh	tr ae n
tráo	tr ae W
tráp	tr ae P
trát	tr ae K
trâm	tr A M
trân	tr A NG
trâu	tr A W
trã	tr a
trèo	tr e W
trét	tr e K
trên	tr oe n
trêu	tr E W
trì	tr i
trình	tr U n
trí	tr i
trích	tr U t
trính	tr U n
trò	tr o
tròn	tr o NG
tròng	tr o NGM
tróc	tr o KP
trói	tr o Y
trót	tr o K
trôi	tr O Y
trông	tr o NGM
trù	tr u
trùm	tr U M
trùn	tr u NGM
trùng	tr u NGM
trú	tr u
trúc	tr u KP
trúng	tr u NGM
trút	tr u KP
trăm	tr ae M
trăn	tr ae NG
trăng	tr ae NG
trĩ	tr i
trĩu	tr i W
trũng	tr u NGM
trơ	tr oe
trơn	tr oe NG
trư	tr U
trưa	tr Ua
trưng	tr U NG
trương	tr U NG
trước	tr U K
trườn	tr U NG
trường	tr U NG
trưởng	tr U NG
trượng	tr U NG
trượt	tr U K
trạc	tr ae K
trại	tr ae Y
trạm	tr ae M
trạng	tr ae NG
trả	tr a
trải	tr ae Y
trảm	tr ae M
trảng	tr ae NG
trấn	tr A NG
trấu	tr A W
trầm	tr A M
trần	tr A NG
trầu	tr A W
trầy	tr A Y
trẩu	tr A W
trẫm	tr A M
trận	tr A NG
trật	tr A K
trắc	tr ae K
trắm	tr ae M
trắng	tr ae NG
trặc	tr ae K
trẹo	tr e W
trẻ	tr e
trề	tr E
trển	tr oe n
trễ	tr E
trệ	tr E
trệt	tr oe t
trị	tr i
trịch	tr U t
trịnh	tr U n
trọ	tr o
trọc	tr o KP
trọi	tr o Y
trọn	tr o NG
trọng	tr o NGM
trỏ	tr o
trỏng	tr o NGM
trốc	tr o KP
trối	tr O Y
trốn	tr O NM
trống	tr o NGM
trồ	tr O
trồi	tr O Y
trồng	tr o NGM
trổ	tr O
trội	tr O Y
trộm	tr O M
trộn	tr O NM
trớn	tr oe NG
trời	tr oe Y
trở	tr oe
trợ	tr oe
trợn	tr oe NG
trợt	tr oe K
trụ	tr u
trục	tr u KP
trụi	tr u Y
trụng	tr u NGM
trủ	tr u
trứng	tr U NG
trừ	tr U
trừng	tr U NG
trữ	tr U
trực	tr U K
tu	t u
tua	t ua
tui	t u Y
tum	t U M
tung	t u NGM
tuy	t w i
tuyên	t w i NG
tuyến	t w i NG
tuyết	t w i K
tuyền	t w i NG
tuyển	t w i NG
tuyệt	t w i K
tuân	t w A NG
tuôn	t u NG
tuý	t w i
tuýp	t w i P
tuýt	t w U t
tuấn	t w A NG
tuất	t w A K
tuần	t w A NG
tuế	t w E
tuệ	t w E
tuốt	t u K
tuồng	t u NG
tuổi	t u Y
tuột	t u K
tuỳ	t w i
tuỵ	t w i
tuỷ	t w i
ty	t i
tà	t a
tài	t ae Y
tàn	t ae NG
tàng	t ae NG
tàu	t ae W
tày	t ae Y
tá	t a
tác	t ae K
tách	t ae t
tái	t ae Y
tám	t ae M
tán	t ae NG
táng	t ae NG
tánh	t ae n
táo	t ae W
táp	t ae P
tát	t ae K
tâm	t A M
tân	t A NG
tâng	t A NG
tâu	t A W
tây	t A Y
tã	t a
tãi	t ae Y
tè	t e
té	t e
tém	t e M
tép	t e P
tét	t e K
tê	t E
têm	t E M
tên	t oe n
tênh	t oe n
tì	t i
tìm	t i M
tình	t U n
tí	t i
tía	t ia
tích	t U t
tím	t i M
tín	t U n
tính	t U n
típ	t i P
tít	t U t
tíu	t i W
tò	t o
tòa	t w a
tòi	t o Y
tóc	t o KP
tóm	t o M
tóp	t o P
tót	t o K
tô	t O
tôi	t O Y
tôm	t O M
tôn	t O NM
tông	t o NGM
tõm	t o M
tù	t u
tùng	t u NGM
tùy	t u Y
tú	t u
túa	t ua
túc	t u KP
túi	t u Y
túm	t U M
túng	t u NGM
tút	t u KP
túy	t u Y
tý	t i
tăm	t ae M
tăn	t ae NG
tăng	t ae NG
tĩnh	t U n
tơ	t oe
tơi	t oe Y
tư	t U
tưng	t U NG
tươi	t U Y
tươm	t U M
tương	t U NG
tước	t U K
tưới	t U Y
tướng	t U NG
tường	t U NG
tườu	t U W
tưởng	t U NG
tượng	t U NG
tạ	t a
tạc	t ae K
tại	t ae Y
tạm	t ae M
tạng	t ae NG
tạnh	t ae n
tạo	t ae W
tạp	t ae P
tạt	t ae K
tả	t a
tải	t ae Y
tản	t ae NG
tảng	t ae NG
tảo	t ae W
tấc	t A K
tấm	t A M
tấn	t A NG
tấp	t A P
tất	t A K
tấu	t A W
tầm	t A M
tần	t A NG
tầng	t A NG
tẩm	t A M
tẩn	t A NG
tẩu	t A W
tẩy	t A Y
tận	t A NG
tập	t A P
tật	t A K
tậu	t A W
tắc	t ae K
tắm	t ae M
tắn	t ae NG
tắp	t ae P
tắt	t ae K
tằm	t ae M
tặc	t ae K
tặng	t ae NG
tẹo	t e W
tẹt	t e K
tẻ	t e
tế	t E
tếch	t oe t
tết	t oe t
tể	t E
tệ	t E
tệp	t E P
tỉ	t i
tỉa	t ia
tỉnh	t U n
tị	t i
tịch	t U t
tịnh	t U n
tịt	t U t
tọp	t o P
tọt	t o K
tỏ	t o
tỏa	t w a
tỏi	t o Y
tỏm	t o M
tố	t O
tốc	t o KP
tối	t O Y
tốn	t O NM
tống	t o NGM
tốp	t O P
tốt	t O TP
tồi	t O Y
tồn	t O NM
tổ	t O
tổn	t O NM
tổng	t o NGM
tộ	t O
tộc	t o KP
tội	t O Y
tột	t O TP
tớ	t oe
tới	t oe Y
tờ	t oe
tởm	t oe M
tởn	t oe NG
tợ	t oe
tợn	t oe NG
tợp	t oe P
tụ	t u
tục	t u KP
tụi	t u Y
tụm	t U M
tụng	t u NGM
tụt	t u KP
tủ	t u
tủi	t u Y
tứ	t U
tức	t U K
từ	t U
từng	t U NG
tử	t U
tửu	t U W
tự	t U
tựa	t Ua
tựu	t U W
tỷ	t i
u	u
ung	u NGM
uy	w i
uyên	w i NG
uyển	w i NG
uên	w oe n
uôn	u NG
uý	w i
uất	w A K
uốn	u NG
uống	u NG
uổng	u NG
va	v a
vai	v ae Y
van	v ae NG
vang	v ae NG
vay	v ae Y
ve	v e
ven	v e NG
veo	v e W
vi	v i
vinh	v U n
viêm	v i M
viên	v i NG
viêt	v i K
viếng	v i NG
viết	v i K
viền	v i NG
viễn	v i NG
việc	v i K
viện	v i NG
việt	v i K
vo	v o
voa	v w a
voan	v w ae NG
voi	v o Y
vong	v o NGM
voọc	v o K
vu	v u
vua	v ua
vui	v u Y
vun	v u NGM
vung	v u NGM
vuông	v u NG
vuốt	v u K
vuột	v u K
vy	v i
và	v a
vài	v ae Y
vàn	v ae NG
vàng	v ae NG
vành	v ae n
vào	v ae W
vá	v a
vác	v ae K
vách	v ae t
vái	v ae Y
ván	v ae NG
váng	v ae NG
vánh	v ae n
vát	v ae K
váy	v ae Y
vân	v A NG
vâng	v A NG
vây	v A Y
vã	v a
vãi	v ae Y
vè	v e
vèo	v e W
vé	v e
vén	v e NG
véo	v e W
vét	v e K
vê	v E
vênh	v oe n
vì	v i
ví	v i
vía	v ia
vích	v U t
vít	v U t
víu	v i W
vò	v o
vòi	v o Y
vòm	v o M
vòng	v o NGM
vó	v o
vóc	v o KP
vón	v o NG
vót	v o K
vô	v O
vôi	v O Y
vôn	v O NM
vông	v o NGM
võ	v o
võng	v o NGM
vù	v u
vùi	v u Y
vùng	v u NGM
vú	v u
vút	v u KP
văn	v ae NG
văng	v ae NG
vĩ	v i
vĩnh	v U n
vũ	v u
vũng	v u NGM
vơ	v oe
vơi	v oe Y
vưu	v U W
vươn	v U NG
vương	v U NG
vướng	v U NG
vườn	v U NG
vượn	v U NG
vượng	v U NG
vượt	v U K
vạ	v a
vạc	v ae K
vạch	v ae t
vạn	v ae NG
vạng	v ae NG
vạt	v ae K
vả	v a
vải	v ae Y
vảng	v ae NG
vảy	v ae Y
vấn	v A NG
vấp	v A P
vất	v A K
vấy	v A Y
vần	v A NG
vầng	v A NG
vầy	v A Y
vẩn	v A NG
vẫn	v A NG
vẫy	v A Y
vận	v A NG
vật	v A K
vậy	v A Y
vắng	v ae NG
vắt	v ae K
vằn	v ae NG
vẳng	v ae NG
vặc	v ae K
vặn	v ae NG
vặt	v ae K
vẹm	v e M
vẹn	v e NG
vẹo	v e W
vẹt	v e K
vẻ	v e
vẽ	v e
vế	v E
vết	v oe t
vếu	v E W
về	v E
vểnh	v oe n
vệ	v E
vện	v oe n
vệt	v oe t
vỉ	v i
vỉa	v ia
vị	v i
vịm	v i M
vịn	v U n
vịnh	v U n
vịt	v U t
vọc	v o KP
vọng	v o NGM
vọt	v o K
vỏ	v o
vốc	v o KP
vốn	v O NM
vồ	v O
vồng	v o NGM
vỗ	v O
vội	v O Y
vớ	v oe
với	v oe Y
vớt	v oe K
vờ	v oe
vời	v oe Y
vờn	v oe NG
vở	v oe
vỡ	v oe
vợ	v oe
vợi	v oe Y
vợt	v oe K
vụ	v u
vục	v u KP
vụn	v u NGM
vụng	v u NGM
vụt	v u KP
vứt	v U K
vừa	v Ua
vừng	v U NG
vữa	v Ua
vững	v U NG
vựa	v Ua
vực	v U K
xa	s a
xang	s ae NG
xanh	s ae n
xao	s ae W
xay	s ae Y
xe	s e
xem	s e M
xen	s e NG
xi	s i
xin	s U n
xinh	s U n
xiêm	s i M
xiên	s i NG
xiêu	s i W
xiếc	s i K
xiết	s i K
xiềng	s i NG
xoa	s w a
xoang	s w ae NG
xoay	s w ae Y
xoe	s w e
xoi	s o Y
xong	s o NGM
xoong	s o NG
xoài	s w ae Y
xoàn	s w ae NG
xoá	s w a
xoáy	s w ae Y
xoã	s w a
xoè	s w e
xoăn	s w ae NG
xoạc	s w ae K
xoắn	s w ae NG
xu	s u
xua	s ua
xui	s u Y
xung	s u NGM
xuyên	s w i NG
xuyến	s w i NG
xuân	s w A NG
xuôi	s u Y
xuýt	s w U t
xuất	s w A K
xuống	s u NG
xuồng	s u NG
xà	s a
xài	s ae Y
xàm	s ae M
xào	s ae W
xá	s a
xác	s ae K
xách	s ae t
xái	s ae Y
xám	s ae M
xáo	s ae W
xát	s ae K
xáy	s ae Y
xâm	s A M
xâu	s A W
xây	s A Y
xã	s a
xèng	s e NG
xèo	s e W
xé	s e
xém	s e M
xén	s e NG
xéo	s e W
xét	s e K
xê	s E
xì	s i
xí	s i
xía	s ia
xích	s U t
xính	s U n
xít	s U t
xíu	s i W
xòa	s w a
xòe	s w e
xó	s o
xóa	s w a
xóc	s o KP
xói	s o Y
xóm	s o M
xót	s o K
xô	s O
xôi	s O Y
xôn	s O NM
xông	s o NGM
xõa	s w a
xù	s u
xùy	s u Y
xúc	s u KP
xúi	s u Y
xúm	s U M
xúng	s u NGM
xúp	s U P
xút	s u KP
xăm	s ae M
xăng	s ae NG
xơ	s oe
xơi	s oe Y
xưa	s Ua
xưng	s U NG
xương	s U NG
xước	s U K
xướng	s U NG
xưởng	s U NG
xạ	s a
xạc	s ae K
xạch	s ae t
xạo	s ae W
xả	s a
xảo	s ae W
xảy	s ae Y
xấp	s A P
xấu	s A W
xẩm	s A M
xắn	s ae NG
xắt	s ae K
xẹp	s e P
xẻ	s e
xẻng	s e NG
xẽ	s e
xế	s E
xếch	s oe t
xếp	s E P
xệ	s E
xệch	s oe t
xỉ	s i
xỉa	s ia
xỉn	s U n
xỉu	s i W
xị	s i
xịn	s U n
xịt	s U t
xỏ	s o
xốc	s o KP
xối	s O Y
xốn	s O NM
xống	s o NGM
xốp	s O P
xốt	s O TP
xộn	s O NM
xới	s oe Y
xởi	s oe Y
xứ	s U
xức	s U K
xứng	s U NG
xử	s U
xực	s U K
y	i
yên	i NG
yêu	i W
yếm	i M
yến	i NG
yết	i K
yếu	i W
yểm	i M
yểu	i W
à	a
àm	ae M
ào	ae W
á	a
ác	ae K
ách	ae t
ái	ae Y
ám	ae M
án	ae NG
áng	ae NG
ánh	ae n
áo	ae W
áp	ae P
át	ae K
â	ə
âm	A M
ân	A NG
âu	A W
ây	A Y
éc	e K
ém	e M
én	e NG
éo	e W
ép	e P
ét	e K
ê	E
êm	E M
ì	i
í	i
ích	U t
ít	U t
òa	w a
ó	o
óc	o KP
ói	o Y
óng	o NGM
ót	o K
ô	O
ôi	O Y
ôm	O M
ôn	O NM
ông	o NGM
ù	u
ùn	u NGM
ú	u
úa	ua
úc	u KP
úi	u Y
úng	u NGM
úp	U P
út	u KP
úy	u Y
ý	i
ă	a
ăn	ae NG
đa	ɗ a
đai	ɗ ae Y
đam	ɗ ae M
đan	ɗ ae NG
đang	ɗ ae NG
đanh	ɗ ae n
đao	ɗ ae W
đau	ɗ ae W
đay	ɗ ae Y
đe	ɗ e
đem	ɗ e M
đen	ɗ e NG
đeo	ɗ e W
đi	ɗ i
đia	ɗ ia
đinh	ɗ U n
điên	ɗ i NG
điêu	ɗ i W
điếc	ɗ i K
điếm	ɗ i M
điếu	ɗ i W
điềm	ɗ i M
điền	ɗ i NG
điều	ɗ i W
điểm	ɗ i M
điển	ɗ i NG
điểu	ɗ i W
điện	ɗ i NG
điệp	ɗ i P
điệu	ɗ i W
đo	ɗ o
đoan	ɗ w ae NG
đong	ɗ o NGM
đoàn	ɗ w ae NG
đoàng	ɗ w ae NG
đoá	ɗ w a
đoán	ɗ w ae NG
đoạn	ɗ w ae NG
đoạt	ɗ w ae K
đoản	ɗ w ae NG
đu	ɗ u
đua	ɗ ua
đun	ɗ u NGM
đung	ɗ u NGM
đuôi	ɗ u Y
đuông	ɗ u NG
đuốc	ɗ u K
đuối	ɗ u Y
đuổi	ɗ u Y
đà	ɗ a
đài	ɗ ae Y
đàm	ɗ ae M
đàn	ɗ ae NG
đàng	ɗ ae NG
đành	ɗ ae n
đào	ɗ ae W
đày	ɗ ae Y
đá	ɗ a
đác	ɗ ae K
đái	ɗ ae Y
đám	ɗ ae M
đán	ɗ ae NG
đáng	ɗ ae NG
đánh	ɗ ae n
đáo	ɗ ae W
đáp	ɗ ae P
đát	ɗ ae K
đáy	ɗ ae Y
đâm	ɗ A M
đâu	ɗ A W
đây	ɗ A Y
đã	ɗ a
đãi	ɗ ae Y
đãng	ɗ ae NG
đè	ɗ e
đèn	ɗ e NG
đèo	ɗ e W
đéo	ɗ e W
đê	ɗ E
đêm	ɗ E M
đênh	ɗ oe n
đì	ɗ i
đìa	ɗ ia
đình	ɗ U n
đìu	ɗ i W
đía	ɗ ia
đích	ɗ U t
đính	ɗ U n
đít	ɗ U t
đò	ɗ o
đòi	ɗ o Y
đòm	ɗ o M
đòn	ɗ o NG
đó	ɗ o
đóa	ɗ w a
đói	ɗ o Y
đóm	ɗ o M
đón	ɗ o NG
đóng	ɗ o NGM
đô	ɗ O
đôi	ɗ O Y
đôn	ɗ O NM
đông	ɗ o NGM
đù	ɗ u
đùa	ɗ ua
đùi	ɗ u Y
đùm	ɗ U M
đùng	ɗ u NGM
đú	ɗ u
đúc	ɗ u KP
đúng	ɗ u NGM
đúp	ɗ U P
đút	ɗ u KP
đăm	ɗ ae M
đăng	ɗ ae NG
đĩ	ɗ i
đĩa	ɗ ia
đũa	ɗ ua
đũng	ɗ u NGM
đũy	ɗ u Y
đơ	ɗ oe
đơm	ɗ oe M
đơn	ɗ oe NG
đưa	ɗ Ua
đương	ɗ U NG
đước	ɗ U K
đường	ɗ U NG
được	ɗ U K
đượm	ɗ U M
đạc	ɗ ae K
đại	ɗ ae Y
đạm	ɗ ae M
đạn	ɗ ae NG
đạo	ɗ ae W
đạp	ɗ ae P
đạt	ɗ ae K
đả	ɗ a
đảm	ɗ ae M
đảng	ɗ ae NG
đảnh	ɗ ae n
đảo	ɗ ae W
đấm	ɗ A M
đấng	ɗ A NG
đất	ɗ A K
đấu	ɗ A W
đấy	ɗ A Y
đầm	ɗ A M
đần	ɗ A NG
đầu	ɗ A W
đầy	ɗ A Y
đẩu	ɗ A W
đẩy	ɗ A Y
đẫm	ɗ A M
đẫn	ɗ A NG
đẫy	ɗ A Y
đậm	ɗ A M
đận	ɗ A NG
đập	ɗ A P
đật	ɗ A K
đậu	ɗ A W
đậy	ɗ A Y
đắc	ɗ ae K
đắm	ɗ ae M
đắn	ɗ ae NG
đắng	ɗ ae NG
đắp	ɗ ae P
đắt	ɗ ae K
đằm	ɗ ae M
đằng	ɗ ae NG
đẳng	ɗ ae NG
đặc	ɗ ae K
đặng	ɗ ae NG
đặt	ɗ ae K
đẹp	ɗ e P
đẻ	ɗ e
đẻn	ɗ e NG
đẽo	ɗ e W
đế	ɗ E
đếch	ɗ oe t
đếm	ɗ E M
đến	ɗ oe n
đề	ɗ E
đềm	ɗ E M
đền	ɗ oe n
đều	ɗ E W
để	ɗ E
đểu	ɗ E W
đễnh	ɗ oe n
đệ	ɗ E
đệm	ɗ E M
đệt	ɗ oe t
đỉa	ɗ ia
đỉnh	ɗ U n
địa	ɗ ia
địch	ɗ U t
định	ɗ U n
địt	ɗ U t
đọ	ɗ o
đọa	ɗ w a
đọc	ɗ o KP
đọi	ɗ o Y
đọng	ɗ o NGM
đọt	ɗ o K
đỏ	ɗ o
đỏm	ɗ o M
đỏng	ɗ o NGM
đố	ɗ O
đốc	ɗ o KP
đối	ɗ O Y
đốm	ɗ O M
đốn	ɗ O NM
đống	ɗ o NGM
đốt	ɗ O TP
đồ	ɗ O
đồi	ɗ O Y
đồn	ɗ O NM
đồng	ɗ o NGM
đổ	ɗ O
đổi	ɗ O Y
đỗ	ɗ O
đỗi	ɗ O Y
độ	ɗ O
độc	ɗ o KP
đội	ɗ O Y
độn	ɗ O NM
động	ɗ o NGM
đột	ɗ O TP
đớ	ɗ oe
đới	ɗ oe Y
đớn	ɗ oe NG
đớp	ɗ oe P
đờ	ɗ oe
đời	ɗ oe Y
đờm	ɗ oe M
đờn	ɗ oe NG
đở	ɗ oe
đỡ	ɗ oe
đợi	ɗ oe Y
đợt	ɗ oe K
đụ	ɗ u
đục	ɗ u KP
đụn	ɗ u NGM
đụng	ɗ u NGM
đụt	ɗ u KP
đủ	ɗ u
đứa	ɗ Ua
đức	ɗ U K
đứng	ɗ U NG
đứt	ɗ U K
đừng	ɗ U NG
đực	ɗ U K
đựng	ɗ U NG
ĩ	i
ơ	oe
ơi	oe Y
ơn	oe NG
ư	U
ưa	Ua
ưng	U NG
ưu	U W
ươi	U Y
ươm	U M
ươn	U NG
ương	U NG
ước	U K
ướp	U P
ướt	U K
ưỡn	U NG
ạ	a
ạt	ae K
ả	a
ải	ae Y
