a	a
tát	t a K
tâm	t A M
tân	t A NG
tây	t A Y
tã	t a
tè	t e
té	t e
tém	t e M
tép	t e P
tét	t e K
tê	t E
tên	t 2 N
tì	t i
tìm	t i M
tình	t U N
tí	t i
tía	t i 3
tích	t U T
tím	t i M
tín	t U N
tính	t U N
tít	t U T
tò	t o
tòa	t w a
tòi	t o Y
tòng	t o NGM
tóc	t o KP
tóm	t o M
tóp	t o P
tô	t O
tôi	t O Y
tôm	t O M
tôn	t O NM
tông	t o NGM
tù	t u
tùng	t u NGM
tùy	t u Y
tú	t u
túc	t u KP
túi	t u Y
túm	t U M
túng	t u NGM
tút	t u KP
túy	t u Y
tăm	t 4 M
tăng	t 4 NG
tĩnh	t U N
tơ	t 2
tơi	t 2 Y
tư	t U
tưng	t U NG
tươi	t U Y
tươm	t U M
tương	t U NG
tước	t U
tước	t U K
tưới	t U Y
tướng	t U NG
tường	t U NG
tưởng	t U NG
tượng	t U NG
tạ	t a
tại	t a Y
tạm	t a M
tạng	t a NG
tạo	t a W
tạp	t a
tạp	t a P
tạt	t a
tạt	t a K
tả	t a
tải	t a Y
tản	t a NG
tảng	t a NG
tảo	t a W
tấc	t A K
tấm	t A M
tấn	t A NG
tấp	t A P
tất	t A K
tấu	t A W
tầm	t A M
tần	t A NG
tầng	t A NG
tẩy	t A Y
tận	t A NG
tập	t A P
tật	t A K
tắc	t a
tắc	t 4 K
tắm	t 4 M
tắn	t 4 NG
tắt	t a
tắt	t 4 K
tằm	t 4 M
tặc	t a
tặc	t 4 K
tặng	t 4 NG
tẹo	t e W
tẻ	t e
tế	t E
tết	t 2
tết	t 2 T
tể	t E
tệ	t E
tệp	t E P
tỉ	t i
tỉa	t i 3
tỉnh	t U N
tị	t i
tịch	t U
tịch	t U T
tịnh	t U N
tọa	t w a
tỏ	t o
tỏa	t w a
tỏi	t o Y
tố	t O
tốc	t o KP
tối	t O Y
tốn	t O NM
tống	t o NGM
tốp	t O P
tốt	t o
tốt	t O K
tồi	t O Y
tồn	t O NM
tổ	t O
tổn	t O NM
tổng	t o NGM
tộc	t o KP
tội	t O Y
tột	t O K
tớ	t 2
tới	t 2 Y
tờ	t 2
tụ	t u
tục	t u KP
tụi	t u Y
tụm	t U M
tụng	t u NGM
tụt	t u KP
tủ	t u
tủi	t u Y
tứ	t U
tức	t U
tức	t U K
từ	t U
từng	t U NG
tử	t U
tự	t U
tựa	t U 3
tựu	t U W
tỷ	t i
u	u
ung	u NGM
uy	w i
uyên	w i NG
uyển	w i NG
uốn	u NG
uống	u NG
uỷ	w i
v	v E
va	v a
vai	v a Y
van	v a NG
vang	v a NG
vay	v 4 Y
ve	v e
ven	v e NG
vi	v i
vinh	v U N
viêm	v i M
viên	v i NG
viếng	v i NG
viết	v i
viết	v i K
viền	v i NG
viễn	v i NG
việc	v i
việc	v i K
viện	v i NG
việt	v i
việt	v i K
voi	v o Y
vong	v o NGM
vu	v u
vua	v u 3
vui	v u Y
vung	v u NGM
vuông	v u NG
vuốt	v u K
và	v a
vài	v a Y
vàn	v a NG
vàng	v a NG
vành	v 4 N
vào	v a W
vá	v a
vác	v a
vác	v a K
vách	v 4 T
vái	v a Y
ván	v a NG
váng	v a NG
vát	v a
vát	v a K
váy	v 4 Y
vân	v A NG
vâng	v A NG
vây	v A Y
vã	v a
vãi	v a Y
vãnh	v 4 N
vèo	v e W
vé	v e
vén	v e NG
vét	v e K
vênh	v 2 N
vì	v i
ví	v i
vía	v i 3
víu	v i W
vò	v o
vòi	v o Y
vòm	v o M
vòng	v o NGM
vóc	v o KP
vót	v o K
vô	v O
vôi	v O Y
vông	v o NGM
võ	v o
võng	v o NGM
vù	v u
vùi	v u Y
vùng	v u NGM
vú	v u
vút	v u KP
văn	v 4 NG
văng	v 4 NG
vĩ	v i
vĩnh	v U N
vũ	v u
vũng	v u NGM
vơ	v 2
vươn	v U NG
vương	v U NG
vướng	v U NG
vườn	v U NG
vượng	v U NG
vượt	v U
vượt	v U K
vạ	v a
vạc	v a K
vạch	v a
vạch	v 4 T
vạn	v a NG
vạt	v a K
vả	v a
vải	v a Y
vấn	v A NG
vấp	v A P
vất	v A K
vầng	v A NG
vầy	v A Y
vẩn	v A NG
vẫn	v A NG
vẫy	v A Y
vận	v A NG
vật	v A K
vậy	v A Y
vắng	v 4 NG
vắt	v 4 K
vẳng	v 4 NG
vặc	v 4 K
vặn	v 4 NG
vặt	v a
vặt	v 4 K
vẹn	v e NG
vẹo	v e W
vẹt	v e K
vẻ	v e
vẽ	v e
vế	v E
vết	v 2
vết	v 2 T
về	v E
vệ	v E
vệt	v 2
vệt	v 2 T
vỉa	v i 3
vị	v i
vịm	v i M
vịn	v U N
vịnh	v U N
vịt	v U
vịt	v U T
vọng	v o NGM
vọt	v o
vọt	v o K
vỏ	v o
vốn	v O NM
vồng	v o NGM
vỗ	v O
vội	v O Y
vớ	v 2
với	v 2 Y
vớt	v 2 K
vờ	v 2
vời	v 2 Y
vở	v 2
vỡ	v 2
vợ	v 2
vợi	v 2 Y
vợt	v 2 K
vụ	v u
vụn	v u NGM
vụt	v u KP
vứt	v U K
vừa	v U 3
vữa	v U 3
vững	v U NG
vực	v U
vực	v U K
x	U T s i
xa	s a
xang	s a NG
xanh	s 4 N
xao	s a W
xay	s 4 Y
xe	s e
xem	s e M
xen	s e NG
xi	s i
xin	s U N
xinh	s U N
xiêu	s i W
xiếc	s i K
xoa	s w a
xoan	s w a NG
xoang	s w a NG
xoay	s w 4 Y
xoe	s w e
xong	s o NGM
xoài	s w a Y
xoá	s w a
xoáy	s w 4 Y
xoăn	s w 4 NG
xoắn	s w 4 NG
xu	s u
xua	s u 3
xui	s u Y
xung	s u NGM
xuyên	s w i NG
xuân	s w A NG
xuôi	s u Y
xuất	s w A K
xuể	s w E
xuống	s u NG
xuồng	s u NG
xà	s a
xài	s a Y
xào	s a W
xá	s a
xác	s a
xác	s a K
xách	s 4 T
xám	s a M
xáo	s a W
xát	s a K
xâm	s A M
xâu	s A W
xây	s A Y
xã	s a
xèo	s e W
xé	s e
xét	s e
xét	s e K
xê	s E
xì	s i
xí	s i
xích	s U
xích	s U T
xính	s U N
xít	s U T
xíu	s i W
xòa	s w a
xóa	s w a
xóc	s o KP
xóm	s o M
xót	s o
xót	s o K
xô	s O
xôi	s O Y
xôn	s O NM
xông	s o NGM
xõa	s w a
xù	s u
xúc	s u KP
xúm	s U M
xúng	s u NGM
xăm	s 4 M
xăng	s 4 NG
xơ	s 2
xưa	s U 3
xưng	s U NG
xương	s U NG
xướng	s U NG
xưởng	s U NG
xạ	s a
xạch	s 4 T
xạo	s a W
xả	s a
xảo	s a W
xảy	s 4 Y
xấu	s A W
xẩm	s A M
xẩy	s A Y
xắn	s 4 NG
xẻ	s e
xế	s E
xếch	s 2 T
xếp	s E P
xệch	s 2
xệch	s 2 T
xỉ	s i
xỉn	s U N
xỉu	s i W
xị	s i
xịn	s U N
xịt	s U T
xỏ	s o
xối	s O Y
xống	s o NGM
xộn	s O NM
xới	s 2 Y
xở	s 2
xởi	s 2 Y
xứ	s U
xứng	s U NG
xử	s U
xửa	s U 3
y	i
y	i y a Y
yên	i NG
yêu	i W
yếm	i M
yến	i NG
yết	i
yết	i K
yếu	i W
yểm	i M
à	a
ào	a W
á	a
ác	a
ác	a K
ách	4 T
ái	a Y
ám	a M
án	a NG
ánh	4 N
áo	a W
áp	a P
áp	a
âm	A M
ân	A NG
âu	A W
ây	A Y
én	e NG
éo	e W
ép	e
ép	e P
ê	E
êm	E M
ì	i
í	i
ích	U T
ít	U
ít	U T
òa	w a
óc	o KP
ói	o Y
óng	o NGM
ô	O
ôi	O Y
ôm	O M
ôn	O NM
ông	o NGM
ù	u
ùn	u NGM
ú	u
úc	u KP
úng	u NGM
úp	U P
út	u KP
úy	u Y
ý	i
ăm	4 M
ăn	4 NG
đ	d E
đa	d a
đai	d a Y
đam	d a M
đan	d a NG
đang	d a NG
đao	d a W
đau	d 4 W
đay	d 4 Y
đe	d e
đem	d e M
đen	d e NG
đeo	d e W
đi	d i
đia	d i 3
đinh	d U N
điên	d i NG
điêu	d i W
điếc	d i K
điếm	d i M
điếu	d i W
điềm	d i M
điền	d i NG
điều	d i W
điểm	d i M
điển	d i NG
điểu	d i W
điện	d i NG
điệp	d i
điệp	d i P
điệu	d i W
đo	d o
đoan	d w a NG
đong	d o NGM
đoàn	d w a NG
đoàng	d w a NG
đoán	d w a NG
đoạn	d w a NG
đoạt	d w a
đoạt	d w a K
đu	d u
đua	d u 3
đun	d u NGM
đuôi	d u Y
đuốc	d u K
đuối	d u Y
đuổi	d u Y
đà	d a
đài	d a Y
đàm	d a M
đàn	d a NG
đàng	d a NG
đành	d 4 N
đào	d a W
đá	d a
đám	d a M
đáng	d a NG
đánh	d 4 N
đáo	d a W
đáp	d a
đáp	d a P
đáy	d 4 Y
đâm	d A M
đâu	d A W
đây	d A Y
đã	d a
đãi	d a Y
đãng	d a NG
đè	d e
đèn	d e NG
đèo	d e W
đê	d E
đêm	d E M
đìa	d i 3
đình	d U N
đích	d U T
đính	d U N
đít	d U T
đò	d o
đòi	d o Y
đòn	d o NG
đó	d o
đóa	d w a
đói	d o Y
đóm	d o M
đón	d o NG
đóng	d o NGM
đô	d O
đôi	d O Y
đôn	d O NM
đông	d o NGM
đùa	d u 3
đùi	d u Y
đùm	d U M
đùn	d u NGM
đùng	d u NGM
đúc	d u KP
đúng	d u NGM
đúp	d U P
đăng	d 4 NG
đĩ	d i
đĩa	d i 3
đũa	d u 3
đơn	d 2 NG
đưa	d U 3
đương	d U NG
đường	d U NG
được	d U
được	d U K
đạc	d a
đạc	d a K
đại	d a Y
đạm	d a M
đạn	d a NG
đạo	d a W
đạp	d a
đạp	d a P
đạt	d a
đạt	d a K
đả	d a
đảm	d a M
đảng	d a NG
đảnh	d 4 N
đảo	d a W
đấm	d A M
đất	d A K
đấu	d A W
đấy	d A Y
đầm	d A M
đầu	d A W
đầy	d A Y
đẩy	d A Y
đẫm	d A M
đậm	d A M
đận	d A NG
đập	d A P
đật	d A K
đậu	d A W
đậy	d A Y
đắc	d 4 K
đắm	d 4 M
đắn	d 4 NG
đắng	d 4 NG
đắp	d a
đắp	d 4 P
đắt	d a
đắt	d 4 K
đằng	d 4 NG
đẳng	d 4 NG
đặc	d a
đặc	d 4 K
đặn	d 4 NG
đặng	d 4 NG
đặt	d a
đặt	d 4 K
đẹp	d e
đẹp	d e P
đẻ	d e
đẽo	d e W
đế	d E
đếm	d E M
đến	d 2 N
đề	d E
đềm	d E M
đền	d 2 N
đều	d E W
để	d E
đểu	d E W
đễnh	d 2 N
đệ	d E
đệm	d E M
đỉnh	d U N
địa	d i 3
địch	d U T
định	d U N
đọ	d o
đọc	d o KP
đọng	d o NGM
đỏ	d o
đỏng	d o NGM
đố	d O
đốc	d o KP
đối	d O Y
đốm	d O M
đốn	d O NM
đống	d o NGM
đốt	d o
đốt	d O K
đồ	d O
đồi	d O Y
đồn	d O NM
đồng	d o NGM
đổ	d O
đổi	d O Y
đỗ	d O
đỗi	d O Y
độ	d O
độc	d o KP
đội	d O Y
động	d o NGM
đột	d o
đột	d O K
đới	d 2 Y
đớn	d 2 NG
đời	d 2 Y
đờm	d 2 M
đờn	d 2 NG
đỡ	d 2
đợi	d 2 Y
đợt	d 2
đợt	d 2 K
đục	d u KP
đụng	d u NGM
đủ	d u
đứa	d U 3
đức	d U
đức	d U K
đứng	d U NG
đứt	d U
đứt	d U K
đừng	d U NG
đựng	d U NG
ĩ	i
ơ	2
ơi	2 Y
ơn	2 NG
ư	U
ưa	U 3
ưng	U NG
ưu	U W
ươm	U M
ương	U NG
ước	U
ước	U K
ướp	U
ướp	U P
ướt	U K
ạ	a
ạch	4 T
ạt	a K
ả	a
ảm	a M
ảnh	4 N
ảo	a W
ấm	A M
ấn	A NG
ấp	A P
ấu	A W
ấy	A Y
ầm	A M
ẩm	A M
ẩn	A NG
ẩu	A W
ắp	4 P
ắt	4 K
ế	E
ếch	2 T
ỉn	U N
ịch	U T
ỏi	o Y
ốc	o KP
ốm	O M
ống	o NGM
ốp	O P
ồ	O
ồn	O NM
ồng	o NGM
ổ	O
ổi	O Y
ổn	O NM
ổng	o NGM
ộc	o KP
ớ	2
ớn	2 NG
ờ	2
ở	2
ợ	2
ụ	u
ục	u KP
ủ	u
ủi	u Y
ủn	u NM
ủng	u NGM
ủy	u Y
ứ	U
ức	U K
ứng	U NG
ửng	U NG
